example_idx,intrv_concepts,intrv_categories,shapley_kl_div,adjusted_shapley_kl_div,atomic_kl_div
0,telephone,Personal Information,0.006537826110919316,0.15451955420707358,0.12871715426445007
0,employment_duration,Income Information,0.11761255686481792,0.27177035259053545,0.3425031900405884
0,job,Income Information,0.021131110688050587,0.18343693942050004,0.13850650191307068
0,housing,Collateral Information,0.06174610182642937,0.14557315822886926,0.11177518218755722
0,property,Collateral Information,0.051769714802503586,0.13559677120494348,0.10179879516363144
0,present_residence,Personal Information,0.08893577009439468,0.08893577009439468,0.08893577009439468
0,age,Current Credit Information,0.10627283900976181,0.10627283900976181,0.10627283900976181
0,other_installment_plans,Income Information,0.11247409880161285,0.11247409880161285,0.11247409880161285
0,people_liable,Collateral Information,0.635240912437439,0.635240912437439,0.635240912437439
0,foreign_worker,Personal Information,0.12308264523744583,0.12308264523744583,0.12308264523744583
0,number_credits,Credit History,0.07724813744425774,0.17945664277832352,0.12029822170734406
0,credit_history,Credit History,0.061159227043390274,0.16336773237745605,0.10420931130647659
0,duration,Current Credit Information,-0.1028154045343399,0.021671356141136522,0.16502054035663605
0,amount,Current Credit Information,0.27139124274253845,0.3958780034180149,0.5392271876335144
0,status,Collateral Information,0.9323004484176636,0.9323004484176636,0.9323004484176636
0,purpose,Current Credit Information,0.09781894087791443,0.09781894087791443,0.09781894087791443
0,savings,Collateral Information,0.18741467595100403,0.18741467595100403,0.18741467595100403
0,installment_rate,Current Credit Information,0.13880592584609985,0.13880592584609985,0.13880592584609985
0,personal_status_sex,Personal Information,0.08306369930505753,0.08306369930505753,0.08306369930505753
0,other_debtors,Credit History,0.1261567324399948,0.1261567324399948,0.1261567324399948
1,telephone,Personal Information,0.058012078205744416,0.26140621934547387,0.39230671525001526
1,employment_duration,Income Information,0.764281744758288,1.5279916997734244,1.0275843143463135
1,job,Income Information,0.4121171782414118,0.6638941228980849,1.0334010124206543
1,housing,Collateral Information,-0.22439569979906082,-0.1376018719366362,0.3549935221672058
1,property,Collateral Information,0.3447948023676872,0.43158863023011185,0.9241840243339539
1,present_residence,Personal Information,0.39595478773117065,0.39595478773117065,0.39595478773117065
1,age,Current Credit Information,0.8354390263557434,0.8354390263557434,0.8354390263557434
1,other_installment_plans,Income Information,1.0421169996261597,1.0421169996261597,1.0421169996261597
1,people_liable,Collateral Information,0.12559393048286438,0.12559393048286438,0.12559393048286438
1,foreign_worker,Personal Information,0.604968786239624,0.604968786239624,0.604968786239624
1,number_credits,Credit History,0.5899176001548767,1.43568584472281,1.025850772857666
1,credit_history,Credit History,0.5833194851875305,1.4290877297554638,1.0192526578903198
1,duration,Current Credit Information,0.1507265418767929,0.22829642808350564,0.5214203000068665
1,amount,Current Credit Information,-0.043122753500938416,0.03444713270577432,0.32757100462913513
1,status,Collateral Information,0.9353856444358826,0.9353856444358826,0.9353856444358826
1,purpose,Current Credit Information,0.8184419274330139,0.8184419274330139,0.8184419274330139
1,savings,Collateral Information,0.9449031352996826,0.9449031352996826,0.9449031352996826
1,installment_rate,Current Credit Information,0.8216965794563293,0.8216965794563293,0.8216965794563293
1,personal_status_sex,Personal Information,0.3847913146018982,0.3847913146018982,0.3847913146018982
1,other_debtors,Credit History,0.6609333753585815,0.6609333753585815,0.6609333753585815
